,date,imoex,SBER,GAZP,LKOH,SBERP,GMKN,NVTK,YNDX,TATN,TATNP,SNGS,POLY,ROSN,TCSG,PLZL,SNGSP,MGNT,MTSS,ALRS,PHOR,PIKK,RUAL,VTBR,FIVE,NLMK,CHMF,IRAO,MOEX,MAIL,MAGN,OZON,RTKM,TRNFP,FIXP,DSKY,HYDR,AGRO,AFLT,POGR,VKCO,AFKS,ENPG,MFON,MFON*,CBOM,HHRU,FEES,FLOT,RNFT,LNTA,LSRG,MTLR,UPRO,SFIN,GLTR,TRMK,MVID,QIWI,SGZH,SELG,MTLRP,NMTP,RSTI,POSI,SMLT,UWGN,MSNG
20,2004-09-01,611.03,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7,912.7
21,2004-10-01,632.97,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01,897.01
22,2004-11-01,570.76,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0
23,2004-12-01,552.22,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02,833.02
24,2005-01-01,575.74,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0,868.0
25,2005-02-01,635.38,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25,968.25
26,2005-03-01,598.04,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9,945.9
27,2005-04-01,593.88,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5,941.5
28,2005-05-01,603.89,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5,983.5
29,2005-06-01,639.98,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97,1053.97
30,2005-07-01,700.65,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9,1184.9
31,2005-08-01,784.28,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01,1387.01
32,2005-09-01,892.5,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0,1644.0
33,2005-10-01,842.52,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5,1570.5
34,2005-11-01,944.55,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0,1645.0
35,2005-12-01,1011.0,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52,1704.52
